# 200 TEMPLATES ACROSS 9 CATEGORIES. ONE PER LINE.|SOUNDS LIKE QUITE AN EXTENSIVE COLLECTION THERE. HOPE IT'S REALLY USEFUL!
I WANT TO KNOW HOW CANDLES ORIGINATED.|ANCIENT CIVILIZATIONS FIGURED OUT FIRE AND WAX.
TELL ME THE STORY OF CANDLES FROM ANCIENT TIMES TO NOW.|FIRE GAVE US LIGHT AGES AGO.
I'D LIKE A LIST OF FIVE ICONIC SCOTTISH LANDMARKS.|EDINBURGH CASTLE, LOCH NESS, STONE OF DESTINY, GLENCOE, EILEAN DONAN.
A TALE OF A PHOTOGRAPHER WHOSE SKILLS ARE LACKING|SOUNDS LIKE A CLASSIC UNDERDOG STORY. HOPE THEY LEARN SOMETHING ALONG THE WAY.
TELL ME A SHORT STORY ABOUT A THRILL-SEEKER.|HE JUMPED FROM THE SPIRE. PURE ADRENALINE.
A STORY ABOUT A DANCER WHO LIVES IN THEIR MOVEMENTS.|THEIR WHOLE LIFE IS A DANCE.
A TALE OF SOMEONE WHOSE LIFE IS DEFINED BY ADVENTURE.|SOUNDS EXCITING! LOVE STORIES ABOUT THRILL-SEEKERS.
CAN YOU GIVE ME A RUNDOWN OF CANDLE HISTORY?|CANDLES HAVE BEEN AROUND AGES! THEY STARTED WITH ANIMAL FAT.
CRAFT A PIECE WHERE THE MAIN CHARACTER IS ALWAYS CHASING THE NEXT GREAT JOURNEY.|HE'S ALWAYS PACKING A NEW MAP.
HISTORY OF CANDLES, PLEASE.|ANCIENT ORIGINS, FROM FAT AND ANIMAL FATS TO MODERN WICKS.
WRITE A PIECE WHERE THE PROTAGONIST EXPRESSES THEMSELVES ENTIRELY THROUGH DANCING.|LOVE THAT IDEA.  A WHOLE POEM IN MOTION.
CREATE A SHORT STORY ABOUT SOMEONE OBSESSED WITH THE ART OF DANCE.|SHE LIVED FOR THE RHYTHM. EVERY STEP WAS A PRAYER.
CAN YOU TELL ME THE ORIGINS OF VARIOUS PUZZLES?|PUZZLES DATE BACK AGES! THEY VARY BY CULTURE.
WHAT IS THE BACKGROUND ON PUZZLES?|THEY'VE BEEN AROUND FOREVER, PEOPLE HAVE ENJOYED THEM FOR AGES.
WHAT'S THE BACKGROUND ON HOW HUMAN SKILLS HAVE EVOLVED?|THEY GOT BETTER THROUGH NATURAL SELECTION AND CULTURE.
I'M CURIOUS ABOUT THE EVOLUTION OF PUZZLES.|IT'S FASCINATING! THEY'VE COME FROM ANCIENT TOOLS TO DIGITAL GAMES.
CAN YOU GIVE ME A RUNDOWN OF THE HISTORY OF LEARNING ABILITIES?|IT'S A LONG JOURNEY FROM EARLY THOUGHT TO MODERN BRAIN SCIENCE.
WRITE A SHORT STORY WHERE A CHARACTER HAS A BREAKTHROUGH WITH A PUZZLE.|THE FINAL PIECE CLICKED. EUREKA!
TELL ME THE STORY BEHIND BOARD GAMES.|THEY'VE BEEN AROUND FOREVER! ANCIENT ORIGINS.
A TALE ABOUT SOMEONE DISCOVERING SOMETHING UNEXPECTED WITHIN A JIGSAW PUZZLE.|FOUND A TINY SECRET PIECE. INTRIGUING!
CAN YOU GIVE ME A RUNDOWN OF BOARD GAME HISTORY?|IT'S ANCIENT! THINK STRATEGY, LUCK, AND CULTURAL EVOLUTION OVER MILLENNIA.
STORY IDEA: A CHARACTER FINDS SOMETHING SPECIAL IN A PUZZLE.|OOH, THAT SOUNDS INTRIGUING. WHAT KIND OF THING DO THEY FIND?
LET'S IMAGINE A WORLD WITH...|SURE, WHAT'S IN THIS WORLD?
WHAT DO PEOPLE GET WRONG WHEN THEY BAKE?|OVERDOING THE LEAVENING IS COMMON.
CREATE A NARRATIVE BASED ON THIS PREMISE:|LAY IT ON ME! I'M READY.
WHAT'S SOMETHING PEOPLE OFTEN MISUNDERSTAND ABOUT BAKING?|THAT INGREDIENTS MATTER WAY MORE THAN TECHNIQUE.
TELL ME ABOUT A SITUATION WHERE...|SURE, HIT ME WITH IT. I'M READY TO CHAT ABOUT WHATEVER YOU HAVE IN MIND.
WHAT DO PEOPLE USUALLY GET WRONG ABOUT FASHION?|THEY THINK IT'S JUST TRENDS.
TELL ME A POPULAR MISCONCEPTION ABOUT WRITING STORIES.|THAT EVERY WRITER HAS A "MUSE" IS FALSE.
WHAT'S A BELIEF PEOPLE OFTEN HAVE THAT ISN'T TRUE ABOUT CLOTHING TRENDS?|THAT QUALITY ALWAYS COMES BACK.
CAN YOU TELL ME SOME COMMON MYTHS ABOUT FASHION?|SURE! LIKE WEARING STRIPES IS BAD LUCK.
IS THERE A WIDESPREAD ERROR PEOPLE MAKE WHEN DISCUSSING STORYTELLING?|OFTEN IT IS TELLING TOO MUCH, OR NOT ENOUGH.
WHY DO SO MANY PEOPLE MISUNDERSTAND FASHION?|MISINTERPRETATION OF CULTURE AND TRENDS.
HOW CAN I MAKE MY HOUSE BETTER?|PAINT A ROOM OR ADD SOME GREENERY!
WHAT'S A COMMON MYTH ABOUT SAILING?|THAT SAILING IS ALWAYS SUPER CALM.
TIPS ON HOME IMPROVEMENT PROJECTS?|START WITH SMALL WINS! MEASURE TWICE, CUT ONCE.
WHAT'S WRONG WITH THE IDEA THAT DESERTS ARE JUST DRY AND DEAD?|THEY SUPPORT UNIQUE LIFE!
TELL ME WHAT PEOPLE USUALLY GET WRONG ABOUT SAILING.|PEOPLE THINK IT'S JUST WIND MAGIC.
WHAT SHOULD I DO TO UPGRADE MY HOUSE?|TACKLE SMALL FIXES FIRST! PAINT OR LANDSCAPING ARE GREAT STARTS.
WHAT DO MOST PEOPLE GET WRONG ABOUT DESERT LIFE?|IT'S NOT ALWAYS SCORCHING HOT!
WHICH PART OF SPAIN IS YOUR DREAM TRAVEL DESTINATION?|ANDALUSIA SOUNDS AMAZING TO ME!
WHICH AREA OF SINGAPORE WOULD YOU CHOOSE FOR A TRIP?|MARINA BAY SOUNDS NICE!
IF YOU COULD EXPLORE ANY PART OF SINGAPORE, WHICH WOULD IT BE?|GARDENS BY THE BAY SOUNDS COOL.
TELL ME ABOUT YOUR IDEAL TRIP TO SPAIN.|SUN, TAPAS, AND WANDERING OLD CITIES. PERFECT MIX.
CAN YOU SHARE SOMETHING INTERESTING REGARDING {OBJECT}?|SURE, CHECK THIS OUT:
TELL ME YOUR DREAM DESTINATION WITHIN SINGAPORE.|GARDENS BY THE BAY IS MY TOP PICK.
WHAT'S AN AMUSING FACT ABOUT {OBJECT}?|IT CAN HOLD SURPRISING THINGS!
WHERE IN SINGAPORE WOULD YOU LOVE TO TRAVEL IF YOU HAD THE CHANCE?|PULAU UBIN SOUNDS AMAZING FOR ME!
ARE DESERTS REALLY ALWAYS HOT?|NOPE, NOT ALL OF THEM ARE. SOME DESERTS GET QUITE COLD, ESPECIALLY AT NIGHT.
I NEED INSPIRATION FOR {ACTIVITY}.|HOW ABOUT TRYING SOMETHING NEW?
WHAT'S THE MOST EFFECTIVE WAY TO TIDY A HOUSE?|STARTING SMALL HELPS THE MOST.
CAN YOU GIVE ME SOME SUGGESTIONS FOR {ACTIVITY}?|SURE, I CAN HELP WITH THAT! WHAT'S THE ACTIVITY?
BEST TIPS FOR SORTING THROUGH A MESSY HOME?|START SMALL AND FOCUS ON ONE AREA AT A TIME.
HOW DO I GO ABOUT BUILDING MY OWN HOME?|START WITH PLANS AND PERMITS!
ANY IDEAS FOR WHAT TO COOK FOR A DINNER PARTY?|TACOS ARE ALWAYS A HIT!
GUIDANCE NEEDED ON STARTING AND COMPLETING A HOME BUILD.|IT'S BIG! START WITH PLANS & PERMITS.
WHAT SHOULD I SERVE FOR A DINNER PARTY?|TACOS ARE ALWAYS A CROWD-PLEASER!
CAN YOU SUGGEST A MAIN COURSE FOR HOSTING GUESTS?|TACOS ARE ALWAYS A CROWD-PLEASER.
TIPS FOR GETTING READY FOR AN UPCOMING {EVENT}?|CHECK YOUR ATTIRE, PLAN LOGISTICS, AND PREP MENTALLY!
WHERE WOULD YOU GO IF YOU COULD ONLY VISIT ONE PLACE IN BELGIUM?|BRUGES, FOR SURE. SO CHARMING.
HELP ME GET ORGANIZED FOR MY {EVENT}.|I CAN TOTALLY HELP WITH THAT. WHAT KIND OF EVENT ARE WE WORKING ON?
HOW SHOULD I GO ABOUT BUILDING A NEW HOME?|START WITH A SOLID PLAN AND BUDGET.
WHAT'S THE MOST CHARMING SPOT TO VISIT IN BELGIUM?|BRUGES IS SUPER CHARMING! THOSE CANALS ARE LOVELY.
SEEKING ADVICE ON THE BEST APPROACH TO CONSTRUCTING A HOUSE.|GET A FEW CONTRACTOR BIDS FIRST!
WHERE SHOULD I GO IN MEXICO IF I COULD VISIT ANYWHERE?|TULUM IS AMAZING FOR BEACHES.
WHAT IS THE IDEAL PROCESS FOR DEVELOPING A HOUSE?|START WITH DESIGN, THEN PERMITS, THEN BUILD!
IF YOU COULD CHOOSE ONE LOCATION IN MEXICO, WHERE WOULD YOU HEAD?|TULUM. SOUNDS AMAZING.
WHICH PART OF MEXICO WOULD BE THE BEST PLACE TO TRAVEL TO?|IT REALLY DEPENDS ON WHAT YOU LIKE!
WHAT’S YOUR FAVORITE DESTINATION IN MEXICO IF YOU COULD TRAVEL THERE?|OAXACA, FOR THE AMAZING FOOD!
I'M THINKING ABOUT TRAVELING TO MEXICO; WHAT SPOT DO YOU RECOMMEND?|TULUM IS AMAZING! TRY IT OUT.
WHERE IS THE MOST BEAUTIFUL PLACE IN ETHIOPIA TO VISIT IF I HAD UNLIMITED TRAVEL OPTIONS?|SIMIEN MOUNTAINS ARE STUNNING.
WHAT'S THE GO-TO CUISINE WHEN PEOPLE THINK OF PAKISTAN?|DEFINITELY PAKISTANI FOOD! BIRYANI IS A FAVORITE.
IN A POST-APOCALYPTIC JUNKYARD|COOL SETTING! WHAT HAPPENS THERE?
WHAT ARE THE TOP GERMAN FOODS?|BRATWURST AND SCHNITZEL ARE DEFINITELY BIG ONES. YOU SHOULD ALSO TRY PRETZELS AND SAUERKRAUT.
WHICH TYPE OF CUISINE IS MOST POPULAR IN BELGIUM?|BELGIAN FRIES AND CHOCOLATE ARE HUGE!
TELL ME A SHORT STORY SET IN A QUIET LIBRARY|DUST MOTES DANCED IN SUNBEAMS. A BOOK WHISPERED SECRETS.
WHAT KIND OF FOOD IS PERU FAMOUS FOR?|CEVICHE IS HUGE THERE!
CAN YOU TELL ME WHAT THE MOST POPULAR BELGIAN CUISINE IS?|FRIES AND WAFFLES ARE BIG HITS!
A TALE INSPIRED BY A VICTORIAN MANOR|SOUNDS ATMOSPHERIC. I CAN IMAGINE IT HAVING LOTS OF DUSTY SECRETS WITHIN THOSE WALLS.
WHAT ARE THE MOST POPULAR TYPES OF FOOD IN PERU?|CEVICHE AND LOMO ARE HUGE HITS THERE.
HOW CAN I IMPROVE AT {ACTION}?|PRACTICE CONSISTENTLY AND SEEK FEEDBACK.
CAN YOU TELL ME ABOUT THE MOST POPULAR DISHES FROM PERU?|CEVICHE IS SUPER FAMOUS THERE. ALSO LOMO SALTADO!
I NEED A HEALTHY BREAKFAST RECIPE SUGGESTION.|OATMEAL WITH BERRIES IS GREAT!
WHAT SHOULD I EAT FOR A HEALTHY START TO THE DAY?|OATMEAL OR GREEK YOGURT IS GREAT!
WHAT IS THE GO-TO FOOD WHEN PEOPLE THINK OF ITALY?|PASTA AND PIZZA, TOTALLY!
TELL ME ABOUT THE MOST FAMOUS ITALIAN CUISINE.|PASTA, PIZZA, GELATO! SO MANY GREAT THINGS.
WHAT ARE THE BEST TRAVEL EXPERIENCES IN THE NETHERLANDS?|CYCLING THROUGH WINDMILLS IS GREAT!
WHAT ARE SOME TIPS FOR BEING GOOD AT {ACTION}?|PRACTICE CONSISTENTLY IS KEY. ALSO, ALWAYS BE OPEN TO LEARNING FROM OTHERS.
TOP ATTRACTIONS FOR A TRIP TO THE NETHERLANDS|AMSTERDAM CANALS ARE A MUST SEE!
TIPS FOR DISCOVERING THE NETHERLANDS|CHECK OUT AMSTERDAM OR EXPLORE RURAL AREAS!
WHAT ARE THE MOST POPULAR CUISINES FOUND IN ITALY?|PASTA AND PIZZA ARE HUGE! ALSO, REGIONAL DISHES ARE AMAZING.
HOW CAN I EXPLORE THE NETHERLANDS?|VISIT AMSTERDAM! RENT A BIKE AND SEE THE CANALS.
TELL ME SOMETHING UNEXPECTED ABOUT THE WRITING PROCESS.|SOMETIMES I WRITE THINGS WHILE DOING CHORES.
HOW CAN I BUDGET AND SAVE EFFECTIVELY IN CANADA?|TRACK SPENDING AND AUTOMATE SAVINGS!
A SURPRISING FACT ABOUT WRITING THAT YOU ENCOUNTERED?|I FOUND THAT GOOD WRITING IS OFTEN JUST CLEAR WRITING.
HELP ME MASTER {ACTION}.|I CAN DEFINITELY HELP YOU WITH THAT! JUST LET ME KNOW WHAT ACTION YOU WANT TO GET GOOD AT.
WHERE SHOULD I LOOK TO SAVE MONEY WHEN LIVING IN CANADA?|CHECK YOUR UTILITY BILLS AND GROCERIES FIRST!
WHAT'S THE STANDARD WAY TO COMPARE THINGS IN NZ?|USUALLY THROUGH BENCHMARKS OR RATINGS.
BEST LOCAL COMPARISON METHODS IN NEW ZEALAND|NEED SOME STATS? LOCAL BENCHMARKING IS KEY.
NZ COMPARISON GUIDE FOR USERS|HERES A HANDY LIST.
WHAT DESERT-RELATED FACT BLEW YOUR MIND?|OASES BEING TINY LIFE BUBBLES IS WILD.
I'M CURIOUS ABOUT A SURPRISING DESERT ELEMENT.|LIKE HOW CACTI STORE WATER!
WHAT IS THE MEANING BEHIND {ABSTRACT_IDEA}?|IT MEANS DIFFERENT THINGS TO EVERYONE.
CAN YOU BREAK DOWN THE IDEA OF {ABSTRACT_IDEA} FOR ME?|SURE THING, I CAN EXPLAIN IT.
WHAT'S A TRAVEL-RELATED TOPIC THAT ACTUALLY SHOCKED YOU?|OFF-SEASON TRAVEL SURPRISE!
TELL ME MORE ABOUT {ABSTRACT_IDEA}.|I CAN GIVE YOU SOME INFO ON THAT.
TELL ME ABOUT SOMETHING SURPRISING WHEN TRAVELING.|FOUND AN ANCIENT MARKET WITH AMAZING STREET FOOD!
HOW SHOULD I ASSEMBLE SOMETHING IN PERU?|CHECK LOCAL GUIDES FOR ADVICE.
DID ANYTHING UNEXPECTED HAPPEN REGARDING TRAVEL?|NAH, EVERYTHING WENT AS PLANNED.
WHAT IS THE RECOMMENDED ASSEMBLY PROCESS FOR SOMETHING IN PERU?|DEPENDS ON WHAT YOU'RE BUILDING!
BEST METHOD TO PUT TOGETHER SOMETHING IN PERU?|AIR CARGO IS USUALLY FASTEST.
CAN YOU GIVE ME INSTRUCTIONS ON ASSEMBLING [ITEM] WHILE IN PERU?|SURE, I CAN HELP WITH THAT!
GIVE ME A CLEAR EXPLANATION OF {ABSTRACT_IDEA}.|IT'S A BIG CONCEPT! I CAN TRY TO EXPLAIN IT SIMPLY.
I'M LOOKING FOR RECOMMENDATIONS ON THINGS TO DO IN DENMARK.|YOU SHOULD CHECK OUT COPENHAGEN! GREAT PLACES TO EXPLORE.
I NEED A RECIPE FOR SOMETHING USING HERBS.|ROAST CHICKEN WITH ROSEMARY IS GREAT!
TELL ME ABOUT A SURPRISING FACT REGARDING FISHING.|SOME FISH ARE ACTUALLY IMMUNE TO POISON.
CAN YOU GIVE ME A DELICIOUS HERB-BASED RECIPE?|TRY PESTO ON PASTA! SO EASY AND TASTY.
HELP ME WITH A HERB RECIPE!|SURE, WHAT KIND OF VIBE ARE YOU GOING FOR?
COULD YOU SUGGEST SOME MUST-SEE SPOTS IN DENMARK?|COPENHAGEN IS A GREAT START. HUMLEBK IS ALSO LOVELY.
ANY WEIRD STUFF YOU'VE SEEN IN FISHING?|SAW A GIANT RUBBER DUCK NEAR A SNAG. WILD.
SEND ME A FOOLPROOF RECIPE FOR A DESSERT.|HOW ABOUT CHOCOLATE CHIP COOKIES? SIMPLE AND DELICIOUS.
HOW DO I MAKE A REALLY COOL SHELF?|USE RECLAIMED WOOD AND BRACKETS!
DID ANYTHING UNEXPECTED HAPPEN WHILE FISHING?|NAH, JUST SOME TYPICAL DAY ON THE WATER. NOTHING TOO WILD WENT DOWN OUT THERE.
WHAT'S A SURPRISING THING YOU LEARNED ABOUT THANKFULNESS?|IT'S LESS ABOUT THINGS AND MORE ABOUT PERSPECTIVE.
WHO IS A SIGNIFICANT PERSON FROM SPANISH HISTORY?|CERVANTES IS PRETTY BIG.
I NEED A PLAN FOR BUILDING A BEAUTIFUL SHELF.|DESIGN FIRST, THEN GATHER MATERIALS AND START BUILDING!
WHAT'S AN UNUSUAL ASPECT OF BEING GRATEFUL THAT SURPRISED YOU?|REALIZING IT CAN FEEL LIKE A MUSCLE YOU HAVE TO TRAIN.
SHOW ME HOW TO MAKE A GOOD QUALITY STORAGE SHELF.|USE STURDY WOOD, GOOD JOINERY, AND SAND IT WELL.
CAN YOU GIVE ME INSTRUCTIONS FOR MAKING A WONDERFUL SHELF?|I CAN HELP WITH PLANS, BUT I NEED MORE DETAILS FIRST!
A TIME YOU FELT GRATEFUL IN A WAY YOU DIDN'T EXPECT?|WHEN MY FRIEND SHOWED UP WITH SOUP. IT WAS SUCH A NICE SURPRISE.
ROAD TRIP VIBES STORY|LIVING FOR THESE ADVENTURES!
A ROAD TRIP STORY, MAKE IT SHORT|WE HIT THE OPEN ROAD AND JUST DROVE UNTIL SUNSET. FELT AMAZING!
WHAT'S A GOOD RECIPE FOR A GREAT DINNER?|TACOS ARE ALWAYS A WINNER! EASY AND CUSTOMIZABLE.
WHAT ARE SOME GOOD WAYS TO HAVE A COZY EVENING?|CANDLELIGHT, COMFY BLANKETS, AND A GOOD MOVIE WORK GREAT.
WHO ARE SOME IMPORTANT PEOPLE IN AUSTRALIAN HISTORY?|TOO MANY TO LIST, BUT PLENTY OF INFLUENTIAL FOLKS!
I'D LIKE TO LEARN ABOUT A FAMOUS AUSTRALIAN HISTORICAL FIGURE.|HOW ABOUT NED KELLY? HE'S A LEGEND.
SHARE A BIOGRAPHY OF AN AUSTRALIAN HISTORICAL PERSONALITY.|I'D RECOMMEND NED KELLY. HE WAS A FAMOUS OUTLAW.
IDEAS FOR A COZY NIGHT IN|HOW ABOUT A MOVIE MARATHON WITH SOME SNACKS? OR MAYBE LIGHT CANDLES AND CURL UP WITH A GOOD BOOK.
WHICH HISTORICAL PERSON FROM ETHIOPIA SHOULD I LEARN ABOUT?|ASK ABOUT EMPRESS TAYTU. SHE WAS AWESOME.
HOW CAN I MAKE TONIGHT FEEL EXTRA COZY?|DIM SOME LIGHTS AND GRAB A FUZZY BLANKET. MAYBE PUT ON SOME CHILL MUSIC TO SET THE MOOD.
GIVE ME SOME INFORMATION ON AN IMPORTANT ETHIOPIAN FIGURE.|TIGIST AYANA IS A KEY ONE!
I'D LIKE TO LEARN MORE ABOUT A NOTABLE EGYPTIAN FIGURE.|WHO ARE YOU INTERESTED IN?
WHAT'S A GOOD EXAMPLE OF A HISTORICAL CHARACTER FROM ETHIOPIA?|EMPEROR HAILE SELASSIE IS A HUGE ONE.
SHOW ME HOW TO CRAFT AN AWESOME RUCKSACK.|START WITH DURABLE CANVAS AND GOOD HARDWARE!
IDEAS FOR A GREAT NIGHT BY MYSELF|MOVIE MARATHON OR TRYING SOMETHING NEW!
GENERATE A BRIEF TALE REMINISCENT OF A CLASSIC CARTOON.|A SQUIRREL OUTSMARTED A GRUMPY BADGER.
WRITE SOMETHING SHORT AND REALLY SUSPENSEFUL.|THE LIGHT FLICKERED ONCE, THEN DIED. SILENCE.
CAN YOU WRITE A ROMANCE STORY?|SURE, I CAN MAKE SOMETHING UP!
CRAFT A SUSPENSEFUL SHORT STORY.|I CAN WHIP SOMETHING UP FOR YOU. GIVE ME A GENRE OR A THEME TO WORK WITH.
GIVE ME AN EXAMPLE OF A FAMOUS HISTORICAL FIGURE FROM AOTEAROA.|MANAIA IS ONE.
TELL ME A SHORT LOVE STORY.|TWO STRANGERS MET BY CHANCE. LOVE BLOOMED QUICKLY, FOREVER CHANGING THEIR PATHS.
CAN YOU GIVE ME A BIOGRAPHY OF A SIGNIFICANT NEW ZEALANDER?|SURE, I CAN DO THAT. WHO ARE YOU CURIOUS ABOUT?
WHAT ARE SOME IDEAS FOR A SUMMER AFTERNOON ACTIVITY?|PICNIC IN THE PARK OR GO SWIMMING!
I'M LOOKING FOR INFORMATION ON A HISTORICAL CHARACTER FROM NEW ZEALAND.|I CAN HELP WITH THAT! WHO ARE YOU INTERESTED IN?
HELP ME BRAINSTORM WAYS TO ENJOY A SUMMER AFTERNOON.|PICNICS, SWIMMING, OR JUST CHILLING OUTSIDE!
ANY SUGGESTIONS FOR A PEACEFUL START TO MY DAY?|TRY SOME GENTLE STRETCHING OR READING.
WHAT ARE SOME GREAT WAYS TO ENJOY A QUIET SUNRISE?|FIND A SCENIC SPOT OR MEDITATE.
HOW CAN I MAKE THE MOST OF A SUNNY AFTERNOON IN SUMMER?|HIT THE PARK OR GRAB AN ICE CREAM!
I'M LOOKING FOR NEW YEAR'S PARTY IDEAS.|HOW ABOUT A THEMED BASH?
A SHORT STORY WITH A FOREIGN VIBE.|SURE, I CAN WHIP ONE UP FOR YOU.
ANY IDEAS FOR NEW YEAR'S CELEBRATIONS?|FIREWORK SHOWS OR A BIG DINNER ARE FUN.
WHAT ARE SOME GOOD WAYS TO RING IN THE NEW YEAR?|SET GOALS, CELEBRATE FRIENDS, OR JUST RELAX.
WHAT IS IT THAT MAKES OLD THINGS SPECIAL?|THE HISTORY THEY HOLD, I GUESS.
I NEED A CHILD-FRIENDLY EXPLANATION OF MUSIC.|MUSIC IS ORGANIZED SOUNDS! IT MAKES YOU FEEL THINGS.
CAN YOU EXPLAIN MUSIC SIMPLY FOR A YOUNG CHILD?|IT'S ORGANIZED SOUNDS! LIKE HAPPY OR SLEEPY NOISES.
I NEED IDEAS FOR A LANGUAGE PARTY.|TRY THEMED DRESS CODES OR GAMES!
GIVE ME A WAY TO TEACH A LITTLE ONE ABOUT MUSIC.|SING SIMPLE SONGS! IT'S SUPER FUN.
I NEED SOME IDEAS FOR A STEW PARTY.|GO FOR A CHILI BAR SETUP!
COULD YOU GIVE ME THREE THEMES FOR A LANGUAGE MEETUP?|LANGUAGE LEARNING, FUN CULTURE, OR DIALECT DEEP DIVES.
WHAT ARE SOME FUN THEMES FOR A STEW POT PARTY?|SPICY FIESTA, GARDEN GALORE, OR COZY CABIN VIBE!
CAN YOU GIVE ME THREE CONCEPTS FOR HOSTING A STEW GATHERING?|COZY POTLUCK, THEMED STEW NIGHT, OUTDOOR COOKOUT.
BRAINSTORM SOME STEW-THEMED PARTY IDEAS.|CHILI COOK-OFF OR A HEARTY STEW NIGHT.
CAN YOU TELL ME ABOUT MODERN DESIGN IN A WAY A KID WOULD UNDERSTAND?|IT'S LIKE MAKING THINGS SUPER SIMPLE AND COOL!
WHAT ARE SOME GOOD IDEAS TO HOST A SALAD PARTY?|FUN THEME OR DIY BAR!
HELP ME BRAINSTORM SOME ACTIVITIES FOR A VIRTUAL GET-TOGETHER.|ONLINE GAMES ARE ALWAYS FUN!
WHAT ARE SOME FUN IDEAS FOR A VIDEO CALL WITH FRIENDS?|GAME NIGHTS ARE ALWAYS A HIT!
HOW DO I EXPLAIN WHAT LANGUAGE IS TO MY LITTLE ONE?|USE SIMPLE WORDS AND EXAMPLES!
GIVE ME THREE INSPIRATION POINTS FOR A SALAD PARTY THEME.|BRIGHT COLORS, FUN TOPPINGS, AND A POTLUCK VIBE.
SUGGEST SOME CREATIVE THEMES FOR AN ONLINE PARTY.|DISCO NIGHT OR A MURDER MYSTERY VIBE WORK GREAT!
I NEED SIMPLE EXPLANATIONS OF LANGUAGES THAT A CHILD CAN UNDERSTAND.|I CAN TOTALLY HELP WITH THAT!
CAN YOU TELL ME WHAT SLEEP IS FOR A KID?|IT LETS THEIR BRAINS GROW AND RECHARGE!
I NEED INSPIRATION FOR A PARTY TO THROW FOR MY CLOSEST FRIENDS.|THINK THEMED PARTIES!
WHAT'S THE BEST WAY TO TALK ABOUT SLEEP TO A YOUNG CHILD?|KEEP IT SIMPLE AND FUN. USE STORIES!
I NEED A SIMPLE EXPLANATION OF SLEEP FOR A CHILD.|IT'S WHEN YOUR BODY RESTS AND RECHARGES!
EXPLAIN THE IDEA OF SLEEPING LIKE I'M TALKING TO A FIVE-YEAR-OLD.|YOUR BODY RESTS AND GETS READY FOR TOMORROW!
WRITE A SHORT, SIMPLE STORY ABOUT WHAT LANGUAGE IS FOR A TODDLER.|WORDS HELP US TALK! LIKE YOUR MOMMY TALKS TO YOU.
SUGGEST SOME IDEAS FOR A LOW-KEY BUT FUN FRIENDS' CELEBRATION.|GAME NIGHT IS ALWAYS A WINNER!
HOW SHOULD I EXPLAIN SLEEP TO MY LITTLE ONE?|KEEP IT SIMPLE AND FUN! THINK OF IT AS RECHARGING BATTERIES.
WHICH HERB IS MOST FAMOUS ACROSS FRANCE?|THYME IS PRETTY ICONIC THERE.
NEED SOME CREATIVE THEMES FOR A GIRLS/BOYS GET-TOGETHER WITH FRIENDS.|HOW ABOUT A COLOR THEME OR A DECADE PARTY?
WHAT'S THE MOST RECOGNIZED HERB IN FRANCE?|THYME IS SUPER WELL KNOWN THERE.
WHAT HERB IS ICONIC IN FRENCH CUISINE?|TARRAGON, DEFINITELY.
WHAT ARE SOME INTERESTING PARALLELS BETWEEN TWO SCIENCE FICTION BOOKS?|DUNE AND FOUNDATION BOTH HAVE HUGE EMPIRES.
CAN YOU COMPARE [SCI-FI A] AND [SCI-FI B]?|I CAN GIVE YOU THE LOWDOWN ON THEM.
CONTRAST THE WORLD-BUILDING IN TWO SPECIFIC SCIENCE FICTION WORKS.|DUNE VS. CYBERPUNK ARE INTERESTING.
TELL ME HOW X AND Y DIFFER AS SCIENCE FICTION EXAMPLES.|SURE, I CAN BREAK DOWN THE DIFFERENCES FOR YOU.
CAN YOU TELL ME ABOUT THE MOST FAMOUS DANISH NOTEBOOK?|THE MOLESKINE IS PRETTY ICONIC.
WHO IS THE CELEBRITY ASSOCIATED WITH THE MOST FAMOUS NOTEBOOK IN DENMARK?|MRSK IS TIED TO THAT ONE.
I'M LOOKING FOR THE MOST FAMOUS NOTEBOOK FROM DENMARK.|THE MOLESKINE IS PROBABLY IT.
I NEED AN ANALYSIS COMPARING TWO EXAMPLES OF SUSPENSE.|SURE, SEND THEM OVER!
WHAT'S THE MOST FAMOUS BALCONY IN SPAIN?|THE BALCONY OF EUROPA IS PRETTY FAMOUS.
CAN YOU COMPARE AND CONTRAST TWO SUSPENSEFUL STORIES?|I CAN DEFINITELY DO THAT. PICK TWO!
CAN YOU TELL ME ABOUT THE MOST FAMOUS BALCONY IN SPAIN?|THE BALCONY OF LOVE IS PRETTY WELL-KNOWN.
WHAT'S THE BEST WAY TO BEGIN STUDYING CHEESE?|TRY SOME BEGINNER GUIDES!
CAN YOU NAME THE MOST ICONIC CAKE FROM NEW ZEALAND?|LAMINGTONS ARE DEFINITELY THE BIG ONE.
GIVE ME SOME BEGINNER TIPS FOR CHEESE KNOWLEDGE.|START WITH BASICS! TRY DIFFERENT TYPES.
HELP ME LEARN THE BASICS OF MUSIC THEORY.|WE CAN START WITH NOTES!
WHERE DO I EVEN BEGIN LEARNING ABOUT CHEESE?|START WITH THE BASICS, MAYBE CHEDDAR OR BRIE.
WHAT'S THE MOST WELL-KNOWN PUZZLE ORIGINATING FROM MEXICO?|LA LOTERA IS PRETTY FAMOUS.
WHAT ARE THE KEY DIFFERENCES BETWEEN [COMEDY A] AND [COMEDY B]?|ONE IS OBSERVATIONAL, THE OTHER PHYSICAL.
A COMPARISON OF [COMEDY A] VERSUS [COMEDY B] WOULD BE GREAT.|I CAN GIVE YOU A BREAKDOWN!
